Horizon,MSE,MAE,SMAPE,DTW
1,0.023204738274216652,0.12241601943969727,8.536047488451004,Not Calculated
2,0.08706194162368774,0.22831062972545624,15.831415355205536,Not Calculated
3,0.1347813457250595,0.29486289620399475,20.390185713768005,Not Calculated
4,0.1714019924402237,0.3397890031337738,23.44326674938202,Not Calculated
5,0.23249422013759613,0.3898434340953827,26.777786016464233,Not Calculated
6,0.33231320977211,0.46403512358665466,31.632152199745178,Not Calculated
7,0.4041617810726166,0.5315862894058228,36.117905378341675,Not Calculated
8,0.4414832592010498,0.5363972783088684,36.26628518104553,Not Calculated
9,0.5283178687095642,0.5805458426475525,38.966959714889526,Not Calculated
10,0.6109498143196106,0.6205790638923645,41.44050478935242,Not Calculated
11,0.6386786699295044,0.6559221148490906,43.834155797958374,Not Calculated
12,0.6691299080848694,0.668583869934082,44.527530670166016,Not Calculated
